,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
20,0.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,0.00010932587595747523,0.013024300651060495,0.0005920136659572952,0.00010413923225976941,0.00010840563313018363,9.801610204734489e-05,0.00011736781455822861,9.906829762938835e-05,0.00011060712902331251,0.0001004510681878531,0.00010182272314736984,0.00010870992054687028,0.00010612206060900749,0.00010443191220233406,9.733003033353257e-05,0.00010795669296461654,9.985255123402645e-05,0.00011005326804773175,0.00011185564740432609,0.00010731997042576634,0.00010610411686473347,0.00010818188854108259,0.00011384045672725123
21,0.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,8.013990011431925e-06,0.013024300651060495,0.0005920136659572952,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06,8.013990011431925e-06
22,1.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,0.00010212457391638607,0.010996247212849732,0.00045327987137649224,0.00010821399884269183,0.00010535142197903929,9.997062831507393e-05,0.000102917878837883,0.00011187250753509608,0.00011669469215533987,0.00010226386599298684,0.00010824613655343056,0.00010787481804098644,0.00011220598401005596,0.00010754690356293505,9.558935054985658e-05,0.00010326523372018938,0.00010633479014595942,9.62670869846868e-05,0.00010646937575810803,9.960355429798384e-05,0.00010595962884532058,0.00010171070924036049,0.00010342210757621886
23,1.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,7.566795432285397e-06,0.010996247212849732,0.00045327987137649224,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06,7.566795432285397e-06
24,2.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,0.00010362477388034466,0.010955966180746967,0.00047208483002413395,0.00010498176776820427,0.00011718029755436616,0.00010710686714478969,0.00011111066870104511,0.00010671556093541418,0.00010768874116269013,0.00010968608351219013,0.00011436819317771528,0.00010911771677906334,0.00010974177612834876,0.00011157024203995635,0.00010523577087623436,0.00010195005414132638,0.00010317206788999484,0.00011697603082601439,0.00010262325604813153,0.00010221591061743317,0.0001122958638297373,0.00010285717325731756,0.00010488773214247969
25,2.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,8.080491289952944e-06,0.010955966180746967,0.00047208483002413395,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06,8.080491289952944e-06
26,3.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,0.00011068605953408823,0.0113620518687515,0.0005410500889881666,0.00011835854827687664,0.00010119114103567369,0.00010071376217677834,0.00010546989695489712,0.00010239829277709097,0.00011795068294804944,0.00010764500879829645,0.00011339978215870537,0.00011220844214660377,0.00010355658530107393,0.00011682509649031532,0.00011369329686147899,0.00011761302431373194,0.0001051348131133808,0.00010518922983886165,0.00011297349689927465,0.00010110121329413927,0.00010639595262580262,9.673123011598538e-05,0.00010939300800554142
27,3.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,8.097966965727774e-06,0.0113620518687515,0.0005410500889881666,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06,8.097966965727774e-06
28,4.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,9.935594887403649e-05,0.012136790644518915,0.0004854716257807566,0.00010524217811709687,0.00010565420281831659,0.00011617328681573708,0.00011119243679621004,0.00010478670867627087,0.0001089454123159972,0.00010587046234274841,0.00010484663289520954,0.00010880179114037873,0.00010934791805518371,0.0001033118608365917,0.00010607057622213903,0.0001096746051240983,0.00011154709371013046,0.00010414804941934807,9.939285927550119e-05,0.00010423009327039259,0.00010940182733108757,0.00010543008777415277,0.00011146953212084865
29,4.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,7.930640745922495e-06,0.012136790644518915,0.0004854716257807566,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06,7.930640745922495e-06
30,5.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,0.00011088198554060671,0.011259477325073958,0.0005204831321519717,0.00011137810980890554,0.00010310313668113069,0.00011216773304283033,0.00011328069638715802,0.00010918208191430894,0.00010565904584220991,0.00011120908666703105,0.00011014965669111772,0.00010702575025213356,0.0001087372627726731,9.614142407466643e-05,0.00010916116455425192,0.00011249981069423605,0.00010342508745325652,0.00011146859337033957,0.00010824222952597407,0.00011973973108327814,0.00010007103533863146,0.00011543603195350017,0.00010672300414974751
31,5.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.1,8.160598880461411e-06,0.011259477325073958,0.0005204831321519717,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06,8.160598880461411e-06
